Year,Month,Monthly Rainfall (mm),Highest 60 Min Rainfall in Month (mm),Monthly Mean Temperature,Monthly Mean Wind Speed (km/h)
2005,1,128.3818182,,26.41639785,11.74193548
2005,2,57.32272728,,28.27529762,11.35071429
2005,3,136.6272727,,27.99946237,10.05548387
2005,4,208.7545455,,28.09388889,6.978666667
2005,5,404.1909091,,27.93064516,6.903225806
2005,6,106.7681818,,28.31694444,7.542666667
2005,7,246.8772727,,27.51935484,7.618709677
2005,8,141.5272727,,27.75994624,8.768387097
2005,9,227.4755411,,27.74972222,8.078
2005,10,339.7311688,,27.24946237,7.098064516
2005,11,253.8727273,,26.99916667,7.14
2005,12,234.7402597,,27.01182796,8.401935484
2006,1,440.9727272,,26.28360215,10.09806452
2006,2,115.6642857,,27.29940476,12.93428571
2006,3,112.7818182,,27.98010753,9.469677419
2006,4,352.1272727,,27.16861111,6.108666667
2006,5,191.3004329,,27.68413979,6.372258065
2006,6,235.9125541,,27.44166667,7.564
2006,7,177.9794372,,27.99623656,9.515483871
2006,8,168.5990909,,28.00887097,9.82
2006,9,143.7363636,,27.55444444,8.092
2006,10,106.1909091,,27.96048387,7.370322581
2006,11,309.4822511,,26.93083333,6.198
2006,12,767.3220346,,26.47688172,9.090322581
2007,1,446.3166667,,26.36263441,10.27548387
2007,2,178.95,,26.88660714,11.67428571
2007,3,264.8545455,,27.23494624,7.597419355
2007,4,386.5272727,,27.47722222,6.166666667
2007,5,186.9772727,,27.86854839,7.080645161
2007,6,182.6681818,,27.98361111,7.125333333
2007,7,216.2772727,,27.27607527,7.589032258
2007,8,267.3818182,,27.15725806,8.607096774
2007,9,209.8084416,,27.4575,8.564
2007,10,255.2424242,,27.33010753,7.341290323
2007,11,270.2835498,,26.79611111,6.510666667
2007,12,389.4272728,,26.27204301,8.149677419
2008,1,229.2409091,,26.63198925,9.476774194
2008,2,86.9590909,,26.67873563,10.86758621
2008,3,377.3181818,,26.25483871,7.518064516
2008,4,275.3954545,,27.52583333,5.959333333
2008,5,148.3227273,,28.15430108,7.250322581
2008,6,172.9805195,,27.74333333,7.214666667
2008,7,142.2426407,,27.41666667,7.941290323
2008,8,233.5316017,,27.11586022,8.389032258
2008,9,274.7409091,,27.42444444,8.868
2008,10,232.2547619,,27.13844086,6.829677419
2008,11,279.0290043,,27.11833333,7.05
2008,12,218.6277056,,26.83037634,10.59870968
2009,1,15.74262694,,26.63134409,14.84036866
2009,2,163.3052308,,27.02946429,10.04540816
2009,3,301.7486672,,26.89561444,6.789112903
2009,4,236.8563219,,27.9602381,6.7075
2009,5,179.5748992,,28.32631336,6.821370968
2009,6,82.13319328,,28.69093254,7.279444444
2009,7,134.3485714,,27.93102919,8.555197133
2009,8,182.8109244,,27.96745392,8.377060932
2009,9,147.5139683,,28.05508598,7.881333333
2009,10,207.2628378,,27.87454557,7.010293255
2009,11,271.3638889,,26.90319444,7.516969697
2009,12,199.9902597,,26.73393369,8.741642228
2010,1,88.01167114,,27.09518817,9.33217742
2010,2,48.79698026,,28.26026786,10.25860029
2010,3,238.6519674,,27.99501303,8.514152192
2010,4,280.8243989,,28.20004183,6.675903541
2010,5,179.4288889,,28.9240488,6.345391705
2010,6,310.8444444,,28.0854899,6.862032967
2010,7,432.7225604,,27.49682951,6.986992792
2010,8,194.8329952,,27.66551647,7.39671275
2010,9,238.0362688,,27.78891026,6.463186813
2010,10,181.7305493,,28.20514711,6.618350614
2010,11,300.1406531,,27.28032967,6.277402778
2010,12,141.9943673,,26.71114853,7.202405914
2011,1,417.6354286,,25.96236855,9.013293011
2011,2,128.3387755,,26.89393642,9.69375
2011,3,218.9918367,,26.92370909,7.105188172
2011,4,255.9470588,,27.69398535,7.213529412
2011,5,153.456,,28.40553526,6.175268817
2011,6,273.178,,28.19013095,6.97037037
2011,7,76.54313726,,28.50362768,8.512555345
2011,8,155.8339367,,27.89853073,7.809939301
2011,9,196.4288462,,27.86102396,7.86122807
2011,10,378.4792453,,27.30188304,6.565459347
2011,11,368.2792453,,27.04650871,6.259269006
2011,12,344.7509434,,26.54480023,7.86893039
2012,1,178.0283019,,26.87196922,8.715619694
2012,2,107.3981132,,27.17471264,8.488747731
2012,3,296.1566038,,27.10966688,6.727504244
2012,4,280.1173077,,27.74840686,6.187719298
2012,5,278.6415094,,28.26603416,6.553989813
2012,6,90.72075472,,28.82345588,7.422982456
2012,7,174.709434,,27.83567362,7.877306169
2012,8,144.8867925,,27.93851992,8.182276929
2012,9,106.6169811,,28.01518519,7.314707602
2012,10,210.7826923,,27.85916219,6.153791737
2012,11,320.0075472,,27.14782135,5.686140351
2012,12,385.9679245,,26.64126081,6.039219015
2013,1,207.0134615,,27.10527093,9.334738728
2013,2,373.5853249,,26.55369981,7.522744361
2013,3,187.5555556,,28.1839553,7.595066969
2013,4,210.2481481,,28.28505447,6.043966862
2013,5,180.0489867,,28.34867041,5.879664214
2013,6,118.7907407,,29.0987963,6.940048733
2013,7,128.3396226,,27.92943285,7.266044143
2013,8,163.4925926,,27.91256589,7.878268251
2013,9,301.3419257,,27.58373638,7.285438596
2013,10,285.0089839,,27.73158339,7.002933409
2013,11,332.5109351,,27.22098039,6.12
2013,12,287.9068627,,26.58747628,8.166053922
2014,1,72.76556863,12.74468085,26.26183586,10.88010753
2014,2,17.57843137,5,27.23832721,11.24007937
2014,3,116.8379025,15.62916667,27.76978047,9.361543882
2014,4,203.666492,25.712,28.14122277,6.048674464
2014,5,224.4116003,19.768,28.47465739,6.43106961
2014,6,155.2335353,15.88,28.97835512,7.338810916
2014,7,200.9671569,27.52708333,28.66774194,7.888804554
2014,8,207.4518462,22.25744681,27.6290291,7.539397533
2014,9,125.100066,32.56363636,28.46591667,8.205318627
2014,10,128.9824073,21.58723404,28.42314437,6.843508855
2014,11,311.0616473,29.6125,27.45168628,6.090740741
2014,12,337.6172799,30.02291667,26.94387097,7.379127135
2015,1,89.59858642,22.23958333,26.87798861,10.82312882
2015,2,56.43969252,16.412,26.90563434,11.86099624
2015,3,154.8802828,35.17755102,27.89171411,8.8762309
2015,4,207.3793447,25.028,28.20704793,7.018596491
2015,5,180.7786107,35.50851064,28.62468902,7.129541596
2015,6,71.58518518,12.064,28.82575163,8.233674464
2015,7,97.99099473,20.414,28.92610162,9.33737974
2015,8,153.6731656,18.758,28.29654623,8.958404075
2015,9,110.9284108,21.99583333,28.48848584,8.256842105
2015,10,96.09823629,12.4244898,28.61484293,7.389096397
2015,11,249.1486907,19.83043478,27.68476035,6.283440546
2015,12,310.7308553,27.0244898,27.6150116,7.720033956
2016,1,176.6581099,14.132,28,8.682588191
2016,2,188.0277807,26.248,27.63354462,10.74421551
2016,3,75.15732946,13.108,28.72424626,9.766874175
2016,4,169.6150943,17.44489796,29.21903322,7.414736842
2016,5,210.8415094,26.16938776,29.12353126,6.941426146
2016,6,209.5219756,23.14255319,28.35536492,6.927719298
2016,7,236.7164651,21.74042553,28.30941651,7.421071496
2016,8,125.4355189,23.59767442,28.93561161,8.5850511
2016,9,151.9953337,20.76923077,28.38926471,8.031699347
2016,10,220.137309,28.4825,28.28902989,8.121790006
2016,11,253.398708,20.14680851,27.46210609,7.549694989
2016,12,204.0875566,31.17142857,27.50710705,8.569354839
2017,1,263.5799667,27.354,27.20329109,8.433437087
2017,2,162.4372053,23.37083333,27.02621713,10.1095705
2017,3,195.624017,15.82553191,27.37479425,7.997491039
2017,4,271.5732773,27.28409091,27.84109858,6.772771359
2017,5,257.6807692,30.93902439,28.48914623,7.682339764
2017,6,138.0014864,19.2925,28.60787158,7.718514437
2017,7,134.7792594,26.19347826,28.45408428,9.322274755
2017,8,142.9845327,24.73541667,28.18655711,8.732050557
2017,9,197.3084152,16.88695652,28.09506944,7.482212476
2017,10,198.4036168,19.06122449,28.20802419,6.663091869
2017,11,335.2824939,33.28888889,27.36545943,7.074278107
2017,12,290.9533983,25.28695652,27.45464965,8.438177314
2018,1,360.3567954,30.12093023,26.28625254,8.140000798
2018,2,52.365559,14.31836735,27.19718963,11.54195906
2018,3,141.1714056,13.03673469,27.85575269,8.98939057
2018,4,222.4133834,28.52653061,28.29223611,8.023524252
2018,5,240.0200562,28.11666667,28.45279638,6.984868574
2018,6,260.3063127,32.0875,28.28697339,7.730140466
2018,7,112.667855,14.87083333,28.4255914,9.020466171
2018,8,92.04463797,16.912,28.52590054,9.570779098
2018,9,188.3234682,25.85306122,27.95816667,8.181173604
2018,10,259.3397369,23.026,27.85740591,6.995188477
2018,11,324.6856899,23.18541667,27.39822024,6.37850354
2018,12,234.6643032,18.45106383,27.61048195,7.31827957
2019,1,96.32417155,13.19583333,27.99385753,11.45810335
2019,2,53.13063795,12.02608696,28.19933036,11.46319291
2019,3,125.5846448,28.35555556,28.69272657,9.649713151
2019,4,226.4004818,28.56666667,28.67672122,7.594624541
2019,5,183.5873585,30.68181818,29.06057471,7.521119281
2019,6,226.4762409,26.41363636,28.32742172,8.35193573
2019,7,76.86221182,12.13478261,28.87358384,10.03225148
2019,8,35.82934773,10.66382979,28.96980031,11.38064516
2019,9,99.50848119,22.21914894,28.81597222,10.33655773
2019,10,160.7544812,16.49148936,27.94533794,7.632696938
2019,11,194.0707659,28.16041667,27.976,7.82024517
2019,12,302.1284092,33.02553191,26.75204873,10.56123456
2020,1,153.4724097,34.77735556,27.6834639,12.11792226
